"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,59.78,NA,NA,NA,NA,35.38,90.62,NA,NA,126,NA,126,NA,0.280538334945056,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,59.78,63.98,32.68,11.94,NA,21.3,69.18,71.46,10.58,80.04,200.42,133.645654253349,231.26,90.62,0.344875837317518,0.608077887323358,0.124465021628972,0.638625081192286,0.605528945710482,0.673861475965941,0.140506836066415,NA,0.0848985238490376,NA,0.07806212323557,NA,0.0826202538579037,NA,0.734534969396071,0.614898725563205
"10",10,63.98,73.26,49.86,29.46,16.08,14.62,25.14,34.18,8.1,143.4,135.24,105.015709363441,210.82,151.5,0.157507150978613,0.281207636635503,0.0549058347183597,0.213875155370069,0.249458119405842,0.385642370855795,-0.0233905526254158,0.0741027182210307,-0.00512014774833321,0.0741012080886201,-0.0179736301412499,0.00973681312514996,-0.0175959720596481,0.00995546158843611,0.629019868165375,0.473288074975831
"11",11,73.26,69.28,41.42,12.98,23.08,0,18.34,23.06,21.82,155.76,154,98.6644930037277,218.98,177.58,0.183546833328587,0.189136930042905,0.131400103334852,0.13828953436791,0.571927118569622,0.515605299585902,NA,0.0505831899418345,0.462159518695061,0.0603276802446596,0.219260842127595,0.0529478281358437,0.249367800674564,0.0553667845021213,0.762237292803258,0.583230049391382
"12",12,69.28,0,0,0,0,77.96,32.14,20.5,23.22,155.6,146.46,NA,231.46,178.82,0.238962450950886,0.227312783816525,0.139000900589005,0.123875342058737,NA,NA,NA,NA,-0.118756756595472,NA,0.000537130497476568,NA,0.00054077097764713,NA,NA,0.453812393830304
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,0,0,0,0,0,0,45.26,13.84,59.04,117.06,181.3,NA,235.2,176.1,0.443590527702234,0.251287670731123,0.409102958138558,0.111779889590732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.540140568553461
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,0,46,0,0,40.2,0,12.52,19.52,16.86,114.04,97.06,NA,162.94,130.9,0.180171702336952,0.19658243160883,0.137916731313807,0.158287448645247,NA,NA,NA,NA,NA,0.134871197991269,NA,0.126193214590605,NA,0.137845810238428,NA,0.422593305023907
"17",17,46,61.34,33.68,15.42,0,0,20.36,17.7,19.68,113.88,108.88,77.6112180160802,171.62,133.56,0.233373168578176,0.221891028370993,0.159663251480062,0.144753092118493,0.314224558611975,0.602207051136661,NA,NA,0.224790155621173,0.448554083861565,0.0065289329783002,0.159498792420277,0.00673413540897643,0.176925935415026,0.686879795030014,0.449337188464991
"18",18,61.34,0,0,0,0,0,37.7,4.9,79.74,51.84,151.34,NA,174.18,131.58,0.674100452167999,0.244523634183666,0.932276315981404,0.0907734223611538,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.55994120617291
"19",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,0,15.86,0,0,0,0,23.48,8.32,16.64,40.1,65.18,NA,88.54,56.74,0.453377187900986,0.359202627363227,0.34814870598212,0.188846287985876,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.41831917281354
"23",23,15.86,26.14,6.6,3.58,0,6.1,14.42,23.86,6.16,42.26,60.78,48.2248088035566,86.7,48.42,0.236946451770679,0.44073852876968,0.136208012859021,0.447909587544663,0.909893275403746,1.412312129718,0.51250634101913,NA,0.18224645802102,1.08699651611953,0.153759242862251,0.536950383415456,0.174636902739464,0.792106087992586,0.650266955266955,0.387457474850236
"24",24,26.14,33.56,15.38,7.44,5.4,0,13.1,20,9.5,56.62,68.86,50.2771478871344,99.22,66.12,0.227201677865702,0.333126819808206,0.155383917911664,0.303045494034579,0.536145436234182,0.788370364548164,NA,0.332689546068401,0.390572305965442,0.376198246719452,0.112828628466013,0.265676452661951,0.125436050443416,0.316151386987192,0.678579110934239,0.463986372852246
"25",25,33.56,0,0,0,0,21.26,29.82,12.98,19.02,57.6,93.82,NA,119.42,76.62,0.408636697091414,0.358310921388455,0.285416317560689,0.203530886662692,NA,NA,NA,NA,0.45901427734638,NA,0.361208856694923,NA,0.45901427734638,NA,NA,0.555625202388356
"26",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,0,30.6,0,0,32.62,0,13.54,8.02,8.48,62.1,55.52,NA,92.14,70.58,0.23904224850252,0.234065177241753,0.128427296881179,0.121835509667258,NA,NA,NA,NA,NA,-0.0643338597353375,NA,0.0129385945156818,NA,0.0133732444101518,NA,0.410825480858401
"28",28,30.6,27.78,11.68,1.66,0,3.62,68,13.88,30.4,39.72,138.72,77.7062987413949,152,70.12,0.64706552421596,0.538343353557579,0.569157765326363,0.300412548516802,0.975685349923321,0.879962732818062,0.510819712011383,NA,0.648047166380535,0.804090743269832,0.461475347829236,0.490460388704454,0.62768981208469,0.691834039157245,0.878122952211188,0.665372789679489
"29",29,27.78,15.72,12.68,7.36,1.76,0,13.22,4.84,15.44,38.16,51.2,40.0302772358624,71.66,53.6,0.39927441288222,0.251511219997034,0.340960587124465,0.120244071717384,0.7919226993896,0.218361090564583,NA,0.0835300852537624,0.562278262547997,0.0575046220720885,0.220011705467119,-0.0040591170504214,0.252666820296809,-0.0035900661349249,0.634449209078264,0.464763406617417
"30",30,15.72,0,0,0,0,0,17.74,3.76,21.82,21.18,49.16,NA,64.5,43,0.613833736601112,0.333408325335174,0.712259986272667,0.165125803430611,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.278029314722907
"31",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,0,0,0,0,0,0,1.2,2.02,0.62,24.32,7.34,NA,28.16,24.94,0.0648645934432642,0.114425013593089,0.0260035622595617,0.08044160494608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14418426810518
"35",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,0,0,0,0,0,0,17.34,7.86,6.06,20.28,42.6,NA,51.54,26.34,0.454389251955145,0.489370408037427,0.263116179345854,0.330422740900251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56129485888022
"37",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,0,9.8,0,0,15.42,0,3.98,4,1.62,26.52,17.88,NA,36.12,28.14,0.155115687862258,0.221221347225987,0.0596133880719158,0.14086285165801,NA,NA,NA,NA,NA,-0.453976961273441,NA,0,NA,0,NA,0.314115667335249
"39",39,9.8,0,0,0,0,0,6.66,1.22,13.28,17.24,32.02,NA,38.4,30.52,0.519563645244646,0.205537970308189,0.574372537219873,0.0682461424499561,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.632209647163982
"40",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,0,2.12,0,0,0,0,7.58,1.34,5.22,13.24,18.04,NA,27.38,18.46,0.465598778738775,0.32316845574146,0.332404365486937,0.0970830632107477,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.295393134643135
"43",43,2.12,3.06,1.5,1.72,0,0,2.5,1.46,2.6,11.98,9.36,10.3854214293714,18.54,14.58,0.274304745821774,0.21243104418801,0.194969933853861,0.114360113414832,0.319060520975753,0.71962152123126,NA,NA,0.175623174745014,0.410193523275424,0.0363333333333333,0.0885238095238095,0.0447609314371295,0.114328671844195,0.501666666666667,0.236427461427461
"44",44,3.06,0,0,0,0,1.6,8.58,0.54,2.92,10.52,15.9,NA,22.56,13.44,0.509297778372149,0.402712019432386,0.248540493832854,0.0499441654718004,NA,NA,NA,NA,0.565237463066672,NA,0.437666666666667,NA,0.589120338907283,NA,NA,0.369105228105228
"45",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,0,3.74,0,0,1.48,0,3.3,4.36,1,10.06,12.38,NA,18.72,11.06,0.227672013386174,0.406363969823419,0.0979857349773879,0.362762100599551,NA,NA,NA,NA,NA,0.790391456670421,NA,0.581761904761905,NA,0.797408092583879,NA,0.377424797424797
"47",47,3.74,8.56,2.04,1.5,0,2.24,8.02,8.64,1.68,12.74,22,20.8088735962916,31.08,14.42,0.309286574344271,0.534876975412817,0.124171397769778,0.52297251154331,0.613565405092782,1.48396075703595,0.0688952985500561,NA,-0.103078170943799,1.09648291254121,0.0359603174603175,0.50718426018426,0.046375000596948,0.776228521292743,0.594452380952381,0.289366257925081
"48",48,8.56,15.68,3.96,2.86,2.74,1.38,13.22,13.02,3.58,17.8,37.6,33.4037239886139,47.62,21.38,0.352424169079744,0.54989199177435,0.186523512760634,0.551594699014848,0.811024969423774,1.4152496798217,0.438743538698048,0.833188197700996,0.359186962047693,0.681523103911129,0.148952658452658,0.428383100178564,0.183310964182782,0.575829947859958,0.57918648018648,0.436986050144349
"49",49,15.68,10.26,5.36,2.28,0.96,2.7,18.66,6.14,12.44,18.38,46.26,33.7531355340438,55.62,30.82,0.559463008874729,0.445252576835745,0.518463647861232,0.287111404336977,1.10502074852862,0.662924936088273,0.57109401558636,0.116904803163134,0.564444456618533,0.380996781500537,0.400455320049747,0.22962301750537,0.526214530241229,0.282360046036504,0.705732378732379,0.490654537170253
"50",50,10.26,6.5,3.82,2.6,2.6,0.52,9,2.54,6.8,17.72,25.58,22.4750187401696,36.06,24.52,0.435979794790632,0.318194567587918,0.329823824087729,0.13629091554729,1.03556130319134,0.571874489843169,0.859277026487084,0.197950744882783,0.650831409875875,0.0210362601662934,0.305497864880218,0.0176633366633367,0.413485928430426,0.0259960319925199,0.616636363636364,0.409049689851884
"51",51,6.5,3.14,1.42,0.38,0.6,0.2,14.12,2.68,5.22,15.04,28.46,17.355434288277,37.06,20.26,0.521836180480722,0.453128292801133,0.298389647120817,0.166430249285306,1.46300736559372,0.717221652209023,1.33970624288168,0.192552965918663,1.31737362699826,0.422344211478055,0.6677113997114,0.295333333333333,1.21269805009006,0.399923552525645,0.779513888888889,0.428604962031433
"52",52,3.14,2.32,0.6,0.28,0.12,3.94,3.16,1.6,2.36,15.36,8.92,5.4087826699144,22.48,17.72,0.245009980128206,0.209597104386767,0.146247487434169,0.099699041773727,1.10830519678199,0.866601245023057,0.827110435780871,0.651829370393916,-0.332994570885145,0.727933575922925,0.063,0.616333333333333,0.0858528614707839,0.665155730856176,0.705882352941177,0.118283486809029
"53",53,2.32,3.34,1.68,0.84,3.38,0.02,2.6,1.9,0.64,16.32,7.42,5.79377308932702,21.46,16.96,0.151760771865995,0.210550603019421,0.0387896250633702,0.111947883968853,0.288884956079894,0.671088239845424,0.18501908324613,0.441077795248054,0.230032629167029,-0.346383183963998,0.0913333333333333,0.0197142857142857,0.120077741342131,0.0250552593699074,0.687414965986395,0.139432966328477
"54",54,3.34,0.34,0.32,0.04,0.02,0.52,8.94,9.56,6.72,11.5,28.68,14.8241766858463,36.72,18.22,0.428088126568253,0.50470431807953,0.470741568890108,0.615293711561416,1.1936781448188,0,0.366204096222703,-0.247552564485695,0.946673949206441,0,0.707,0,0.925013099813943,0,0.90625,0.299904928404928
